fight_id,P1_id,P2_id,P1_name,P2_name,date,location,rounds_planned,P1_W,P1_L,P1_D,P2_W,P2_L,P2_D,P1_6W,P1_6L,P1_6D,P2_6W,P2_6L,P2_6D,P1_bdate,P1_stance,P1_height,P1_reach,P1_country,P2_bdate,P2_stance,P2_height,P2_reach,P2_country,P1_outcome,rounds_happened,time,referee,judge1,judge2,judge3,judge1_score,judge2_score,judge3_score,comments,P2_outcome,outcome_type,rounds_planned.1,lon,lat
3521,1894,483,Alfred Rangel,Hector Lizarraga,7/1/95,"Spotlight 29 Casino, Coachella, California",0,28,8,5,28,8,5,6,0,0,6,0,0,1/22/67,orthodox,0,0,USA,9/1/66,orthodox,0,0,Mexico,L,1,0,Wayne Hedgpeth,0,0,0,0,0,0,0,L,KO,0,-116.173894,33.6803003
14840,774,674,Allan Makitoki,Edel Geronimo,11/16/84,"Araneta Coliseum, Barangay Cubao, Quezon City, Metro Manila",10,13,0,2,13,0,2,4,0,2,4,0,2,8/6/62,0,0,0,Philippines,4/13/63,0,0,0,Philippines,L,10,0,0,0,0,0,0,0,0,0,L,SD,10,121.0533043,14.6206333
14825,774,453,Allan Makitoki,Tracy Harris Patterson,2/17/89,"Mid-Hudson Civic Center, Poughkeepsie, New York",10,28,1,0,28,1,0,6,0,0,6,0,0,8/6/62,0,0,0,Philippines,12/26/64,orthodox,166,171,USA,L,4,2:56,0,0,0,0,0,0,0,0,L,TKO,10,-73.9209701,41.7003713
14824,774,468,Allan Makitoki,Jorge Paez,10/23/89,"Great Western Forum, Inglewood, California",10,30,2,2,30,2,2,5,0,1,5,0,1,8/6/62,0,0,0,Philippines,10/27/65,orthodox,165,173,Mexico,L,6,3:00,Larry Rozadilla,0,0,0,0,0,0,0,L,TKO,10,-118.3531311,33.9616801
14826,774,2131,Allan Makitoki,Lupe Gutierrez,11/12/88,"Auditorium, Modesto, California",10,19,1,0,19,1,0,6,0,0,6,0,0,8/6/62,0,0,0,Philippines,12/13/63,orthodox,168,0,USA,W,8,2:39,Jack Campbell,0,0,0,0,0,0,Gutierrez down in 8th,W,TKO,10,-120.9968782,37.6390972
14832,774,2622,Allan Makitoki,Cesar Zulueta,11/18/86,"Honolulu, Hawaii",6,9,12,1,9,12,1,3,2,1,3,2,1,8/6/62,0,0,0,Philippines,9/3/59,0,0,0,USA,W,6,0,0,0,0,0,0,0,0,0,W,UD,6,-157.8583333,21.3069444
12794,4101,1571,Alvaro Bohorquez,Eddie Hopson,1/9/93,"Houston, Texas",10,18,0,0,18,0,0,6,0,0,6,0,0,10/25/64,orthodox,0,0,Colombia,6/30/71,southpaw,163,157,USA,L,10,0,0,0,0,0,0,0,0,0,L,UD,10,-95.3698028,29.7604267
12796,4101,1371,Alvaro Bohorquez,Gabriel Ruelas,8/17/91,"Sports Arena, San Diego, California",12,24,1,0,24,1,0,5,1,0,5,1,0,10/25/64,orthodox,0,0,Colombia,7/23/70,orthodox,170,175,Mexico,L,12,0,0,0,0,0,0,0,0,Bohorquez down in round four.,L,UD,12,-117.2105087,32.7533935
12802,4101,1129,Alvaro Bohorquez,Rosendo Alonso,6/24/89,"Bakersfield, California",8,32,20,1,32,20,1,3,3,0,3,3,0,10/25/64,orthodox,0,0,Colombia,5/19/61,0,0,0,Mexico,D,8,0,0,0,0,0,0,0,0,0,D,PTS,8,-119.0187125,35.3732921
24480,3554,511,Anatoly Alexandrov,Genaro Hernandez,6/14/97,"Alamodome, San Antonio, Texas",12,35,1,1,35,1,1,5,1,0,5,1,0,2/3/67,orthodox,168,0,Kazakhstan,5/10/66,orthodox,180,183,USA,L,12,0,Jerry McKenzie,Jose Juan Guerra,Angel Luis Guzman,Walter Schramm,113-116,115-113,113-116,0,L,SD,12,-98.4788143,29.4169834
15394,4319,727,Andres Sandoval,Alejandro Mayorga,7/29/88,"Ensenada, Baja California",0,3,10,0,3,10,0,0,6,0,0,6,0,11/30/62,orthodox,0,0,Mexico,,0,0,0,Mexico,W,7,0,0,0,0,0,0,0,0,0,W,TKO,0,-116.5963713,31.8667427
15381,4319,1021,Andres Sandoval,Robert Lewis,7/9/90,"Tijuana, Baja California",0,11,19,4,11,19,4,0,5,1,0,5,1,11/30/62,orthodox,0,0,Mexico,11/4/62,0,0,0,USA,W,2,0,0,0,0,0,0,0,0,0,W,KO,0,-117.0382471,32.5149469
15395,4319,2074,Andres Sandoval,Fernando Segura,4/19/88,"Tijuana, Baja California",0,2,11,0,2,11,0,1,5,0,1,5,0,11/30/62,orthodox,0,0,Mexico,,0,0,0,Mexico,W,9,0,0,0,0,0,0,0,0,0,W,TKO,0,-117.0382471,32.5149469
15370,4319,468,Andres Sandoval,Jorge Paez,2/19/94,"Great Western Forum, Inglewood, California",10,50,6,4,50,6,4,5,1,0,5,1,0,11/30/62,orthodox,0,0,Mexico,10/27/65,orthodox,165,173,Mexico,L,5,3:00,Marty Denkin,Larry Rozadilla,Pat Russell,Henry Elesperu,0,0,0,Sandoval unable to answer the 6th round bell due to a broken nose.,L,RTD,10,-118.3531311,33.9616801
15375,4319,551,Andres Sandoval,Hector Lopez,1/18/92,"Country Club, Reseda, California",10,21,1,0,21,1,0,6,0,0,6,0,0,11/30/62,orthodox,0,0,Mexico,2/1/67,orthodox,173,173,Mexico,L,5,0,0,0,0,0,0,0,0,0,L,TKO,10,-118.5360517,34.2011141
15374,4319,509,Andres Sandoval,Tony Lopez,6/30/92,"Arco Arena, Sacramento, California",10,39,3,1,39,3,1,4,1,1,4,1,1,11/30/62,orthodox,0,0,Mexico,2/24/63,orthodox,168,183,USA,L,2,0,0,0,0,0,0,0,0,0,L,TKO,10,-121.5180614,38.649062
10685,6424,1071,Angel Aldama,Martin Torres,6/15/90,"Cardenas, Tabasco",0,8,19,3,8,19,3,0,6,0,0,6,0,8/15/70,orthodox,0,0,Mexico,,0,0,0,Mexico,W,3,0,0,0,0,0,0,0,0,0,W,TKO,0,-93.3732339,18.0012067
10663,6424,1571,Angel Aldama,Eddie Hopson,8/23/94,"Fort Worth, Texas",12,23,0,0,23,0,0,6,0,0,6,0,0,8/15/70,orthodox,0,0,Mexico,6/30/71,southpaw,163,157,USA,L,9,0,0,0,0,0,0,0,0,0,L,TD,12,-97.3307658,32.7554883
10645,6424,468,Angel Aldama,Jorge Paez,4/29/00,"Peppermill Hotel & Casino, Reno, Nevada",10,63,14,4,63,14,4,4,2,0,4,2,0,8/15/70,orthodox,0,0,Mexico,10/27/65,orthodox,165,173,Mexico,L,3,3:00,Kenny Bayless,Burt A. Clements,Herb Santos,Al Siciliano,0,0,0,0,L,RTD,10,-112.4050542,33.6477368
10664,6424,578,Angel Aldama,Calvin Grove,5/7/94,"MGM Grand, Las Vegas, Nevada",8,46,5,0,46,5,0,5,1,0,5,1,0,8/15/70,orthodox,0,0,Mexico,8/5/62,orthodox,170,0,USA,L,8,0,0,0,0,0,0,0,0,0,L,UD,8,-115.1723452,36.1035315
1907,88125,1842,Angel Castillo,Luis Vera,5/9/90,"Mexico City, Distrito Federal",8,3,4,0,3,4,0,3,3,0,3,3,0,,0,0,0,Mexico,,0,0,0,Mexico,W,6,0,0,0,0,0,0,0,0,0,W,KO,8,-99.133208,19.4326077
4442,66058,1494,Angel Luis Garcia,Juvenal Molina,4/12/89,"Ventura Theatre, Ventura, California",6,5,14,2,5,14,2,0,6,0,0,6,0,7/10/68,orthodox,0,0,Cuba,9/29/63,0,0,0,Mexico,W,6,0,0,0,0,0,0,0,0,0,W,PTS,6,-119.2290316,34.274646
4170,130432,3025,Angel Mancillas,Edward Rodriquez,10/4/85,"Arco Arena, Sacramento, California",4,8,1,0,8,1,0,5,1,0,5,1,0,,0,0,0,Mexico,2/21/66,southpaw,177,0,USA,L,4,0,0,0,0,0,0,0,0,0,L,PTS,4,-121.5180614,38.649062
15588,5180,578,Angel Manfredy,Calvin Grove,11/18/95,"Taj Majal Hotel & Casino, Atlantic City, New Jersey",12,48,7,0,48,7,0,4,2,0,4,2,0,10/30/74,orthodox,168,180,USA,8/5/62,orthodox,170,0,USA,W,7,2:54,Tony Orlando,Al Dorsey,Eva Shain,Rocky Young,55-59,57-57,57-57,0,W,TKO,12,77.2234578,28.6047691
15586,5180,2481,Angel Manfredy,Harold Petty,12/16/95,"The Roxy, Boston, Massachusetts",12,36,6,0,36,6,0,5,1,0,5,1,0,10/30/74,orthodox,168,180,USA,10/13/60,southpaw,165,0,USA,W,5,3:00,Harold Gomes,Don O'Neill,Paul Herman,John Rupert,50-45,50-45,50-45,0,W,RTD,12,-71.0588801,42.3600825
15578,5180,468,Angel Manfredy,Jorge Paez,8/2/97,"Mohegan Sun Casino, Uncasville, Connecticut",12,59,11,4,59,11,4,5,1,0,5,1,0,10/30/74,orthodox,168,180,USA,10/27/65,orthodox,165,173,Mexico,W,8,1:08,Mickey Vann,Glenn Feldman,William Hutt,Don O'Neill,68-65,69-64,70-63,0,W,TKO,12,-72.1100945,41.4316905
15574,5180,352,Angel Manfredy,Floyd Mayweather Jr,12/19/98,"Miccosukee Indian Gaming Resort, Miami, Florida",12,18,0,0,18,0,0,6,0,0,6,0,0,10/30/74,orthodox,168,180,USA,2/24/77,orthodox,173,183,USA,L,2,2:47,Frank Santore Jr,Jay Kassees,Ken Morita,Dalby Shirley,0,0,0,0,L,TKO,12,-80.4844448,25.7636628
1695,6939,1371,Angelo Nunez,Gabriel Ruelas,9/16/96,"Arizona Charlie's, Las Vegas, Nevada",10,42,3,0,42,3,0,5,1,0,5,1,0,3/17/67,orthodox,170,178,USA,7/23/70,orthodox,170,175,Mexico,L,8,0,0,0,0,0,0,0,0,0,L,TD,10,-115.1398296,36.1699412
1692,6939,352,Angelo Nunez,Floyd Mayweather Jr,11/20/97,"Olympic Auditorium, Los Angeles, California",8,11,0,0,11,0,0,6,0,0,6,0,0,3/17/67,orthodox,170,178,USA,2/24/77,orthodox,173,183,USA,L,3,2:42,Lou Moret,Raul Caiz Sr,Marcos Rosales,Larry Rozadilla,0,0,0,0,L,TKO,8,-118.2436849,34.0522342
1716,6939,3387,Angelo Nunez,Vicente Gonzalez,9/1/87,"Arco Arena, Sacramento, California",6,5,3,2,5,3,2,2,3,1,2,3,1,3/17/67,orthodox,170,178,USA,4/5/67,orthodox,165,163,USA,L,6,0,0,0,0,0,0,0,0,0,L,UD,6,-121.5180614,38.649062
5740,59238,1675,Anthony Fernandez,Charles Hawkins,2/22/91,"Phoenix, Arizona",0,6,5,1,6,5,1,2,4,0,2,4,0,7/12/71,0,0,0,USA,2/21/67,0,0,0,USA,W,1,0,0,0,0,0,0,0,0,0,W,TKO,0,-112.0740373,33.4483771
13942,8922,3021,Anthony Johnson,Mike Johnson,2/27/98,"UAW Hall, Parma, Ohio",8,28,9,2,28,9,2,2,4,0,2,4,0,6/7/71,0,0,0,USA,6/16/66,orthodox,0,0,USA,W,6,0,0,0,0,0,0,0,0,0,W,TKO,8,-81.7229086,41.4047742
13956,8922,3053,Anthony Johnson,Randy Archuleta,9/28/94,"Huntington Park, California",6,6,9,0,6,9,0,2,4,0,2,4,0,6/7/71,0,0,0,USA,5/7/66,0,0,0,USA,W,6,0,0,0,0,0,0,0,0,0,W,PTS,6,-118.2250725,33.9816812
13948,8922,468,Anthony Johnson,Jorge Paez,11/16/95,"Great Western Forum, Inglewood, California",10,53,10,4,53,10,4,2,4,0,2,4,0,6/7/71,0,0,0,USA,10/27/65,orthodox,165,173,Mexico,L,10,0,0,0,0,0,0,0,0,0,L,UD,10,-118.3531311,33.9616801
13946,8922,1347,Anthony Johnson,Paris Alexander,6/1/96,"San Francisco, California",12,19,10,3,19,10,3,3,3,0,3,3,0,6/7/71,0,0,0,USA,8/15/64,0,0,0,USA,L,12,0,0,0,0,0,0,0,0,0,L,SD,12,-122.4194155,37.7749295
12453,1835,1371,Antonio Marin,Gabriel Ruelas,6/16/89,"Houston, Texas",0,11,0,0,11,0,0,6,0,0,6,0,0,,0,0,0,0,7/23/70,orthodox,170,175,Mexico,L,1,0,0,0,0,0,0,0,0,0,L,KO,0,-95.3698028,29.7604267
1541,6097,1806,Armando Arriaga,Stefano Zoff,7/28/00,"Monfalcone, Friuli-Venezia Giulia",6,31,7,2,31,7,2,5,1,0,5,1,0,8/27/66,orthodox,0,0,Mexico,3/17/66,orthodox,175,0,Italy,L,6,0,0,0,0,0,0,0,0,0,L,PTS,6,13.5331727,45.8050468
1313,1556,483,Armando Sarabia,Hector Lizarraga,1/25/89,"Arco Arena, Sacramento, California",8,10,7,3,10,7,3,5,1,0,5,1,0,,0,0,0,USA,9/1/66,orthodox,0,0,Mexico,L,8,0,0,0,0,0,0,0,0,0,L,PTS,8,-121.5180614,38.649062
1316,1556,3387,Armando Sarabia,Vicente Gonzalez,3/9/87,"Arco Arena, Sacramento, California",0,3,0,1,3,0,1,3,0,1,3,0,1,,0,0,0,USA,4/5/67,orthodox,165,163,USA,W,1,0,0,0,0,0,0,0,0,0,W,KO,0,-121.5180614,38.649062
1317,1556,3387,Armando Sarabia,Vicente Gonzalez,2/15/87,"Arco Arena, Sacramento, California",4,1,0,0,1,0,0,1,0,0,1,0,0,,0,0,0,USA,4/5/67,orthodox,165,163,USA,D,4,0,0,0,0,0,0,0,0,0,D,PTS,4,-121.5180614,38.649062
14387,873,1649,Arnel Arrozal,Mark Fernandez,1/16/87,"Radisson Hotel, Denver, Colorado",15,19,2,1,19,2,1,5,1,0,5,1,0,9/4/57,southpaw,0,0,Philippines,10/20/60,orthodox,170,183,USA,L,15,0,Ray Keech,0,0,0,0,0,0,0,L,UD,15,-104.990251,39.7392358
14383,873,468,Arnel Arrozal,Jorge Paez,5/22/87,"Mexicali, Baja California",0,15,2,1,15,2,1,6,0,0,6,0,0,9/4/57,southpaw,0,0,Philippines,10/27/65,orthodox,165,173,Mexico,L,5,0,0,0,0,0,0,0,0,0,L,TKO,0,-115.4522623,32.6245389
